idx,rssi
1191,15
1192,17
1193,17
1194,18
1195,19
1196,24
1197,17
1198,14
1199,14
1200,18
1201,16
1202,21
1203,21
1204,29
1205,27
1206,21
1207,23
1208,31
1209,39
1210,35
1211,43
1212,25
1213,33
1214,30
1215,21
1216,20
1217,20
1218,23
1219,27
1220,29
1221,22
1222,23
1223,21
1224,18
1225,23
1226,26
1227,25
1228,26
1229,22
1230,36
1231,35
1232,36
1233,27
1234,27
1235,31
1236,39
1237,41
1238,40
1239,39
1240,35
1241,29
1242,37
1243,33
1244,36
1245,41
1246,38
1247,39
1248,48
1249,48
1250,41
1251,39
1252,34
1253,37
1254,37
1255,36
1256,39
1257,39
1258,40
1259,50
1260,35
1261,38
1262,38
1263,36
1264,42
1265,38
1266,45
1267,46
1268,42
1269,41
1270,44
1271,46
1272,43
1273,46
1274,44
1275,46
1276,49
1277,45
1278,49
1279,41
1280,47
1281,41
1282,59
1283,48
1284,43
1285,51
1286,42
1287,41
1288,51
1289,46
1290,38
1291,42
1292,39
1293,39
1294,44
1295,46
1296,39
1297,35
1298,30
1299,28
1300,28
1301,32
1302,33
1303,35
1304,40
1305,33
1306,40
1307,35
1308,29
1309,28
1310,30
1311,32
1312,41
1313,35
1314,34
1315,31
1316,34
1317,38
1318,47
1319,38
1320,31
1321,35
1322,40
1323,35
1324,37
1325,38
1326,37
1327,34
1328,45
1329,35
1330,37
1331,34
1332,37
1333,39
1334,41
1335,36
1336,36
1337,46
1338,46
1339,42
1340,49
1341,50
1342,53
1343,58
1344,43
1345,52
1346,43
1347,49
1348,62
1349,44
1350,51
1351,53
1352,52
1353,50
1354,45
1355,45
1356,47
1357,44
1358,43
1359,46
1360,78
1361,67
1362,60
1363,54
1364,54
1365,56
1366,75
1367,69
1368,54
1369,41
1370,50
1371,64
1372,54
1373,54
1374,48
1375,80
1376,49
1377,55
1378,55
1379,60
1380,60
1381,52
1382,65
1383,53
1384,58
1385,53
1386,54
1387,63
1388,50
1389,65
1390,53
1391,55
1392,50
1393,67
1394,54
1395,49
1396,56
1397,62
1398,61
1399,50
1400,46
1401,46
1402,56
1403,73
1404,53
1405,53
1406,48
1407,50
1408,57
1409,51
1410,51
1411,48
1412,56
1413,57
1414,49
1415,57
1416,61
1417,46
1418,47
1419,53
1420,53
1421,49
1422,50
1423,43
1424,40
1425,48
1426,39
1427,40
1428,47
1429,41
1430,43
1431,46
1432,46
1433,51
1434,38
1435,35
1436,42
1437,29
1438,45
1439,40
1440,39
1441,39
1442,39
1443,43
1444,39
1445,40
1446,42
1447,33
1448,42
1449,36
1450,46
1451,36
1452,35
1453,40
1454,25
1455,30
1456,25
1457,31
1458,26
1459,29
1460,30
1461,34
1462,29
1463,33
1464,31
1465,27
1466,32
1467,32
1468,31
1469,42
1470,46
1471,40
1472,39
1473,39
1474,38
1475,37
1476,43
1477,36
1478,37
1479,41
1480,38
1481,35
1482,51
1483,43
1484,41
1485,37
1486,30
1487,35
1488,33
1489,34
1490,34
1491,37
1492,57
1493,53
1494,39
1495,45
1496,38
1497,36
1498,34
1499,36
1500,37
1501,40
1502,36
1503,33
1504,35
1505,34
1506,46
1507,35
1508,29
1509,22
1510,23
1511,27
1512,28
1513,28
1514,29
1515,30
1516,31
1517,30
1518,37
1519,44
1520,24
1521,24
1522,29
1523,35
1524,26
1525,26
1526,24
1527,29
1528,38
1529,34
1530,30
1531,26
1532,25
1533,19
1534,17
1535,17
1536,20
1537,19
1538,16
1539,14
1540,13
1541,12
1542,13
1543,14
1544,17
1545,17
1546,18
1547,15
1548,15
1549,14
1550,15
1551,24
1552,20
1553,26
1554,23
1555,30
1556,28
1557,38
1558,32
1559,32
1560,32
1561,36
1562,58
1563,44
1564,35
1565,30
1566,31
1567,37
1568,32
1569,24
1570,23
1571,19
1572,21
1573,19
1574,19
1575,33
1576,27
1577,31
1578,29
1579,40
1580,38
1581,29
1582,50
1583,35
1584,42
1585,51
1586,32
1587,28
1588,34
1589,29
1590,31
1591,31
1592,45
1593,43
1594,49
1595,32
1596,28
1597,25
1598,27
1599,32
1600,40
1601,28
1602,31
1603,41
1604,30
1605,26
1606,25
1607,28
1608,27
1609,31
1610,28
1611,25
1612,33
1613,40
1614,43
1615,35
1616,35
1617,31
1618,25
1619,24
1620,24
1621,32
1622,38
1623,33
1624,34
1625,42
1626,54
1627,40
1628,37
1629,29
1630,28
1631,26
1632,30
1633,34
1634,46
1635,36
1636,32
1637,33
1638,32
1639,38
1640,40
1641,44
1642,41
1643,44
1644,31
1645,26
1646,37
1647,46
1648,33
1649,34
1650,32
1651,26
1652,28
1653,30
1654,34
1655,34
1656,36
1657,32
1658,28
1659,29
1660,27
1661,41
1662,29
1663,27
1664,35
1665,28
1666,39
1667,36
1668,30
1669,24
1670,23
1671,32
1672,17
1673,18
1674,21
1675,21
1676,22
1677,20
1678,34
1679,19
1680,22
1681,24
1682,33
1683,44
1684,33
1685,25
1686,27
1687,39
1688,33
1689,29
1690,37
1691,27
1692,26
1693,27
1694,24
1695,36
1696,35
1697,41
1698,36
1699,31
1700,31
1701,22
1702,17
1703,18
1704,21
1705,26
1706,24
1707,20
1708,22
1709,30
1710,21
1711,17
1712,19
1713,16
1714,10
1715,9
1716,16
1717,20
1718,35
1719,30
1720,30
1721,24
1722,24
1723,30
1724,35
1725,31
1726,33
1727,28
1728,31
1729,33
1730,23
1731,19
1732,33
1733,35
1734,27
1735,19
1736,26
1737,30
1738,17
1739,18
1740,18
1741,19
1742,18
1743,23
1744,28
1745,30
1746,21
1747,29
1748,26
1749,26
1750,37
1751,30
1752,36
1753,35
1754,40
1755,38
1756,42
1757,34
1758,35
1759,37
1760,42
1761,29
1762,28
1763,28
1764,25
1765,29
1766,31
1767,35
1768,29
1769,26
1770,30
1771,24
1772,19
1773,25
1774,22
1775,19
1776,19
1777,10
1778,10
1779,21
1780,21
1781,33
1782,33
1783,36
1784,30
1785,33
1786,30
1787,35
1788,38
1789,25
1790,37
1791,28
1792,29
1793,31
1794,29
1795,32
1796,36
1797,45
1798,25
1799,28
1800,42
1801,36
1802,35
1803,30
1804,28
1805,35
1806,35
1807,32
1808,32
1809,42
1810,35
1811,37
1812,42
1813,39
1814,38
1815,38
1816,43
1817,48
1818,45
1819,44
1820,43
1821,36
1822,36
1823,37
1824,40
1825,48
1826,45
1827,55
1828,42
1829,45
1830,45
1831,37
1832,28
1833,25
1834,26
1835,32
1836,62
1837,46
1838,39
1839,40
1840,45
1841,38
1842,39
1843,39
1844,36
1845,35
1846,36
1847,36
1848,29
1849,31
1850,34
1851,49
1852,32
1853,36
1854,24
1855,30
1856,28
1857,27
1858,30
1859,33
1860,30
1861,34
1862,41
1863,33
1864,26
1865,38
1866,37
1867,25
1868,45
1869,27
1870,42
1871,35
1872,41
1873,41
1874,30
1875,36
1876,32
1877,35
1878,25
1879,34
1880,33
1881,27
1882,23
1883,18
1884,18
1885,21
1886,19
1887,21
1888,19
1889,16
1890,18
1891,24
1892,11
1893,11
1894,12
1895,16
1896,13
1897,10
1898,9
1899,11
1900,15
1901,21
1902,32
1903,34
1904,38
1905,38
1906,32
1907,26
1908,30
1909,25
1910,26
1911,30
1912,42
1913,32
1914,37
1915,31
1916,25
1917,29
1918,29
1919,27
1920,33
1921,28
1922,29
1923,41
1924,29
1925,37
1926,31
1927,23
1928,19
1929,22
1930,21
1931,20
1932,16
1933,18
1934,33
1935,36
1936,42
1937,36
1938,41
1939,36
1940,33
1941,35
1942,38
1943,38
1944,32
1945,49
1946,42
1947,34
1948,36
1949,26
1950,32
1951,35
1952,33
1953,32
1954,33
1955,42
1956,35
1957,30
1958,49
1959,37
1960,33
1961,36
1962,28
1963,30
1964,31
1965,29
1966,28
1967,40
1968,28
1969,37
1970,39
1971,36
1972,31
1973,34
1974,31
1975,28
1976,31
1977,32
1978,51
1979,39
1980,34
1981,35
1982,42
1983,38
1984,32
1985,37
1986,30
1987,35
1988,34
1989,28
1990,37
1991,33
1992,36
1993,32
1994,28
1995,35
1996,34
1997,33
1998,35
1999,31
