idx,rssi
1328,39
1329,46
1330,34
1331,35
1332,34
1333,36
1334,40
1335,36
1336,35
1337,37
1338,48
1339,41
1340,42
1341,39
1342,50
1343,46
1344,49
1345,48
1346,45
1347,44
1348,50
1349,45
1350,52
1351,50
1352,53
1353,50
1354,50
1355,43
1356,53
1357,42
1358,44
1359,43
1360,46
1361,64
1362,62
1363,53
1364,55
1365,56
1366,60
1367,64
1368,59
1369,46
1370,44
1371,49
1372,49
1373,67
1374,64
1375,51
1376,63
1377,56
1378,56
1379,56
1380,53
1381,56
1382,54
1383,54
1384,57
1385,59
1386,51
1387,51
1388,51
1389,48
1390,59
1391,61
1392,50
1393,58
1394,64
1395,51
1396,54
1397,55
1398,52
1399,60
1400,63
1401,46
1402,47
1403,59
1404,56
1405,53
1406,53
1407,49
1408,49
1409,67
1410,51
1411,50
1412,50
1413,45
1414,47
1415,50
1416,49
1417,47
1418,44
1419,50
1420,53
1421,49
1422,49
1423,48
1424,43
1425,40
1426,43
1427,41
1428,41
1429,43
1430,42
1431,41
1432,46
1433,43
1434,40
1435,36
1436,36
1437,34
1438,30
1439,46
1440,39
1441,39
1442,45
1443,44
1444,36
1445,48
1446,39
1447,31
1448,32
1449,38
1450,37
1451,37
1452,35
1453,33
1454,37
1455,25
1456,31
1457,28
1458,28
1459,28
1460,33
1461,31
1462,28
1463,32
1464,34
1465,32
1466,27
1467,30
1468,28
1469,33
1470,37
1471,60
1472,37
1473,44
1474,37
1475,36
1476,38
1477,36
1478,34
1479,40
1480,35
1481,36
1482,37
1483,53
1484,53
1485,38
1486,35
1487,29
1488,36
1489,34
1490,34
1491,38
1492,45
1493,56
1494,52
1495,34
1496,37
1497,36
1498,35
1499,33
1500,36
1501,35
1502,38
1503,33
1504,34
1505,34
1506,31
1507,38
1508,34
1509,34
1510,21
1511,23
1512,28
1513,29
1514,27
1515,33
1516,38
1517,30
1518,34
1519,34
1520,39
1521,27
1522,23
1523,31
1524,29
1525,29
1526,22
1527,25
1528,30
1529,30
1530,32
1531,28
1532,39
1533,23
1534,19
1535,15
1536,19
1537,18
1538,33
1539,15
1540,32
1541,11
1542,12
1543,13
1544,14
1545,20
1546,16
1547,16
1548,13
1549,18
1550,13
1551,14
1552,26
1553,23
1554,27
1555,24
1556,26
1557,28
1558,29
1559,30
1560,43
1561,40
1562,37
1563,42
1564,40
1565,30
1566,27
1567,33
1568,40
1569,25
1570,22
1571,23
1572,33
1573,22
1574,20
1575,19
1576,27
1577,28
1578,38
1579,33
1580,34
1581,33
1582,29
1583,36
1584,32
1585,31
1586,37
1587,32
1588,29
1589,48
1590,26
1591,32
1592,33
1593,37
1594,35
1595,37
1596,32
1597,33
1598,27
1599,29
1600,31
1601,47
1602,27
1603,27
1604,39
1605,27
1606,25
1607,18
1608,31
1609,29
1610,35
1611,25
1612,27
1613,32
1614,38
1615,36
1616,40
1617,34
1618,31
1619,22
1620,25
1621,31
1622,39
1623,33
1624,32
1625,35
1626,41
1627,44
1628,31
1629,34
1630,30
1631,28
1632,25
1633,41
1634,31
1635,35
1636,37
1637,29
1638,36
1639,33
1640,40
1641,38
1642,50
1643,34
1644,27
1645,28
1646,31
1647,38
1648,37
1649,39
1650,31
1651,34
1652,26
1653,31
1654,30
1655,40
1656,37
1657,34
1658,28
1659,32
1660,26
1661,31
1662,39
1663,27
1664,29
1665,39
1666,27
1667,31
1668,35
1669,27
1670,22
1671,22
1672,19
1673,18
1674,20
1675,20
1676,20
1677,21
1678,22
1679,24
1680,20
1681,23
1682,27
1683,35
1684,46
1685,30
1686,25
1687,27
1688,41
1689,28
1690,31
1691,31
1692,26
1693,28
1694,27
1695,27
1696,40
1697,35
1698,49
1699,28
1700,25
1701,28
1702,18
1703,14
1704,24
1705,23
1706,26
1707,21
1708,27
1709,23
1710,31
1711,19
1712,17
1713,26
1714,12
1715,9
1716,12
1717,17
1718,27
1719,37
1720,27
1721,24
1722,30
1723,25
1724,31
1725,31
1726,28
1727,34
1728,26
1729,27
1730,25
1731,22
1732,27
1733,36
1734,27
1735,23
1736,18
1737,31
