idx,rssi
878,81.0
879,83.0
880,80.0
881,85.0
882,86.0
883,82.0
884,82.0
885,83.0
886,81.0
887,73.0
888,80.0
889,84.0
890,85.0
891,82.0
892,85.0
893,87.0
894,80.0
895,79.0
896,80.0
897,84.0
898,87.0
899,83.0
900,81.0
901,82.0
902,83.0
903,88.0
904,85.0
905,82.0
906,85.0
907,82.0
908,86.0
909,85.0
910,88.0
911,86.0
912,85.0
913,84.0
914,86.0
915,84.0
916,84.0
917,85.0
918,86.0
919,87.0
920,84.0
921,83.0
922,84.0
923,81.0
924,82.0
925,85.0
926,85.0
927,83.0
928,85.0
929,86.0
930,88.0
931,82.0
932,88.0
933,89.0
934,84.0
935,87.0
936,88.0
937,87.0
938,89.0
939,86.0
940,83.0
941,93.0
942,91.0
943,87.0
944,84.0
945,83.0
946,92.0
947,84.0
948,93.0
949,92.0
950,91.0
951,88.0
952,90.0
953,91.0
954,83.0
955,89.0
956,87.0
957,88.0
958,85.0
959,90.0
960,86.0
961,85.0
962,86.0
963,89.0
964,90.0
965,83.0
966,87.0
967,84.0
968,90.0
969,85.0
970,82.0
971,86.0
972,87.0
973,85.0
974,87.0
975,88.0
976,90.0
977,85.0
978,85.0
979,88.0
980,89.0
981,83.0
982,89.0
983,87.0
984,86.0
985,85.0
986,88.0
987,86.0
988,92.0
989,92.0
990,89.0
991,91.0
992,92.0
993,84.0
994,93.0
995,87.0
996,90.0
997,88.0
998,89.0
999,88.0
1000,89.0
1001,92.0
1002,92.0
1003,87.0
1004,91.0
1005,88.0
1006,90.0
1007,91.0
1008,90.0
1009,86.0
1010,89.0
1011,88.0
1012,88.0
1013,88.0
1014,92.0
1015,90.0
1016,89.0
1017,90.0
1018,92.0
1019,92.0
1020,93.0
1021,90.0
1022,89.0
1023,90.0
1024,94.0
1025,91.0
1026,96.0
1027,93.0
1028,96.0
1029,93.0
1030,95.0
1031,94.0
1032,99.0
1033,95.0
1034,92.0
1035,94.0
1036,96.0
1037,94.0
1038,98.0
1039,97.0
1040,94.0
1041,94.0
1042,95.0
1043,95.0
1044,94.0
1045,100.0
1046,91.0
1047,92.0
1048,95.0
1049,89.0
1050,90.0
1051,94.0
1052,82.0
1053,93.0
1054,96.0
1055,91.0
1056,92.0
1057,91.0
1058,94.0
1059,88.0
1060,93.0
1061,96.0
1062,91.0
1063,92.0
1064,86.0
1065,86.0
1066,91.0
1067,90.0
1068,90.0
1069,90.0
1070,85.0
1071,94.0
1072,95.0
1073,92.0
1074,92.0
1075,90.0
1076,90.0
1077,99.0
1078,94.0
1079,95.0
1080,97.0
1081,94.0
1082,89.0
1083,90.0
1084,91.0
1085,94.0
1086,92.0
1087,95.0
1088,92.0
1089,86.0
1090,89.0
1091,96.0
1092,93.0
1093,94.0
1094,93.0
1095,96.0
1096,94.0
1097,93.0
1098,90.0
1099,92.0
1100,95.0
1101,92.0
1102,96.0
1103,92.0
1104,93.0
1105,92.0
1106,89.0
1107,91.0
1108,91.0
1109,95.0
1110,95.0
1111,99.0
1112,90.0
1113,94.0
1114,94.0
1115,95.0
1116,97.0
1117,96.0
1118,95.0
1119,93.0
1120,93.0
1121,92.0
1122,96.0
1123,99.0
1124,97.0
1125,98.0
1126,96.0
1127,97.0
1128,94.0
1129,92.0
1130,93.0
1131,99.0
1132,97.0
1133,93.0
1134,101.0
1135,98.0
1136,92.0
1137,98.0
1138,97.0
1139,96.0
1140,100.0
1141,99.0
1142,95.0
1143,104.0
1144,96.0
1145,96.0
1146,95.0
1147,93.0
1148,96.0
1149,99.0
1150,99.0
1151,98.0
1152,94.0
1153,96.0
1154,98.0
1155,94.0
1156,98.0
1157,97.0
1158,95.0
1159,96.0
1160,99.0
1161,94.0
1162,93.0
1163,99.0
1164,94.0
1165,94.0
1166,92.0
1167,92.0
1168,101.0
1169,92.0
1170,94.0
1171,91.0
1172,91.0
1173,95.0
1174,93.0
1175,93.0
1176,96.0
1177,90.0
1178,88.0
1179,96.0
1180,93.0
1181,94.0
1182,94.0
1183,94.0
1184,93.0
1185,88.0
1186,91.0
1187,95.0
1188,101.0
1189,93.0
1190,93.0
1191,95.0
1192,95.0
1193,104.0
1194,91.0
1195,94.0
1196,97.0
1197,94.0
1198,97.0
1199,93.0
1200,98.0
1201,102.0
1202,99.0
1203,97.0
1204,96.0
1205,97.0
1206,95.0
1207,96.0
1208,98.0
1209,85.0
1210,103.0
1211,95.0
1212,95.0
1213,96.0
1214,95.0
1215,98.0
1216,96.0
1217,102.0
1218,96.0
1219,100.0
